project_num,activity_code,fiscal_year,project_title,org_name,org_city,org_state,dept_type,pi_name,award_amount,project_start_date,project_end_date,ic_name
1F32HD116519-01,F32,2024,Tuning of infant olfactory circuits by early life interactions with caregivers,STANFORD UNIVERSITY,STANFORD,CA,BIOLOGY,Najva  Akbari,63970,2025-03-01T00:00:00,2025-12-31T00:00:00,Eunice Kennedy Shriver National Institute of Child Health and Human Development
7F32GM155989-02,F32,2024,Defining the mechanism of PTCHD1 and membrane cholesterol in the regulation of the mu-opioid receptor,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,CORAL GABLES,FL,PHYSIOLOGY,Colten Keith Lankford,29349,2025-03-01T00:00:00,2026-02-28T00:00:00,National Institute of General Medical Sciences
1F32GM155989-01,F32,2024,Defining the mechanism of PTCHD1 and membrane cholesterol in the regulation of the mu-opioid receptor,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,NEUROSCIENCES,Colten Keith Lankford,44935,2025-03-01T00:00:00,2025-10-16T00:00:00,National Institute of General Medical Sciences
1F32AA031901-01A1,F32,2024,Alcohol-mediated mitochondrial adaptations in skeletal muscle: role of Sirtuin1,LSU HEALTH SCIENCES CENTER,NEW ORLEANS,LA,PHYSIOLOGY,Keishla Marie Rodriguez Graciani,74284,2025-02-16T00:00:00,2026-08-15T00:00:00,National Institute on Alcohol Abuse and Alcoholism
1F32MH138253-01,F32,2024,Training in Behavioral Design Interventions to Address Stigma among Men Who have Sex with Men,YALE UNIVERSITY,NEW HAVEN,CT,SOCIAL SCIENCES,Daniel J Bromberg,77908,2025-02-08T00:00:00,2028-02-07T00:00:00,National Institute of Mental Health
1F32DC022192-01A1,F32,2024,Language plasticity after childhood hemispherectomy: Neuroimaging and computational modeling,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PA,OPHTHALMOLOGY,Kelly C Martin,74284,2025-02-01T00:00:00,2028-01-31T00:00:00,National Institute on Deafness and Other Communication Disorders
1F32AA031902-01A1,F32,2024,Alcohol Impact on Traumatic Brain Injury: Focus on Mitochondrial Alterations,LSU HEALTH SCIENCES CENTER,NEW ORLEANS,LA,PHYSIOLOGY,Xavier Ricardo Chapa Dubocq,74284,2025-02-01T00:00:00,2027-07-31T00:00:00,National Institute on Alcohol Abuse and Alcoholism
1F32MH139159-01,F32,2024,Long-term neural consequences of altered critical period timing.,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,PATHOLOGY,Maggie  Postolache,83328,2025-01-24T00:00:00,2028-01-23T00:00:00,National Institute of Neurological Disorders and Stroke
1F32DC022467-01,F32,2024,Examining Iconicity with EEG: The role of Motoric Iconicity and Embodied Cognition in American Sign Language,GALLAUDET UNIVERSITY,WASHINGTON,DC,OTHER HEALTH PROFESSIONS,Meghan Elizabeth McGarry,77468,2025-01-15T00:00:00,2028-01-14T00:00:00,National Institute on Deafness and Other Communication Disorders
1F32AA032173-01,F32,2024,Astrocyte modulation of striatal neuronal activity and behavioral sensitivity to alcohol,"RUTGERS, THE STATE UNIV OF N.J.",PISCATAWAY,NJ,NEUROSCIENCES,Cherish  Ardinger,74284,2025-01-15T00:00:00,2027-01-14T00:00:00,National Institute on Alcohol Abuse and Alcoholism
1F32HL176113-01,F32,2024,Mitochondrial succinyl CoA management at the intersection of heme and ketone metabolism,DUKE UNIVERSITY,DURHAM,NC,INTERNAL MEDICINE/MEDICINE,ANNELISE  POSS,73408,2025-01-01T00:00:00,2027-12-31T00:00:00,National Heart Lung and Blood Institute
1F32AI186416-01,F32,2024,Elucidating the role of IFN epsilon mediated type I IFN responses against Trichomonas vaginalis,UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CA,MICROBIOLOGY/IMMUN/VIROLOGY,Joshua Andrew Kochanowsky,50999,2025-01-01T00:00:00,2025-07-31T00:00:00,National Institute of Allergy and Infectious Diseases
1F32HL176055-01,F32,2024,The Role of Smooth Muscle Cell Estrogen Receptor Alpha in Aging-Associated Arterial Stiffness,TUFTS MEDICAL CENTER,BOSTON,MA,,Casey Gail Turner,43772,2025-01-01T00:00:00,2025-07-31T00:00:00,National Heart Lung and Blood Institute
1F32GM156052-01,F32,2024,Understanding How Distinct Heterochromatin States Control Pioneer Factor Binding,UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,BIOCHEMISTRY,Matthew Gregory Lowe,74284,2025-01-01T00:00:00,2026-12-31T00:00:00,National Institute of General Medical Sciences
1F32MH139150-01,F32,2024,"Identifying a functional role for transcriptionally distinct, BLA-activated LS ensembles in social behaviors","LIEBER INSTITUTE, INC.",BALTIMORE,MD,,Robert  Phillips,78828,2025-01-01T00:00:00,2027-12-31T00:00:00,National Institute of Neurological Disorders and Stroke
1F32AI186291-01,F32,2024,Anti-fungal immune responses in the female reproductive tract,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PA,INTERNAL MEDICINE/MEDICINE,Melissa Erin Cook,76108,2025-01-01T00:00:00,2026-12-31T00:00:00,National Institute of Allergy and Infectious Diseases
1F32DC022145-01,F32,2024,The impact of noise on temporal integration of speech in the human brain,UNIVERSITY OF ROCHESTER,ROCHESTER,NY,NEUROSCIENCES,Dana  Boebinger,74284,2025-01-01T00:00:00,2027-12-31T00:00:00,National Institute on Deafness and Other Communication Disorders
1F32HD117600-01,F32,2024,Moving Forward: Early Predictors of Crawling and Walking in Infants with DS,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),BOSTON,MA,PHYSICAL MEDICINE & REHAB,Ashley  Collimore-Doherty,78328,2025-01-01T00:00:00,2027-12-31T00:00:00,Eunice Kennedy Shriver National Institute of Child Health and Human Development
1F32MH139173-01,F32,2024,Advanced functional MRI of cerebral cortical layers in the human brain using ultrahigh-resolution linescan MRI technology,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,,Nadira del R. Yusif Rodriguez,78328,2025-01-01T00:00:00,2027-12-31T00:00:00,National Institute of Mental Health
1F32AI183661-01,F32,2024,Defining the role of PSTPIP2 in neutrophil biology,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,,Bridget  Ratitong,73828,2024-12-18T00:00:00,2027-12-17T00:00:00,National Institute of Allergy and Infectious Diseases
