source,source_year,source_identifier,source_name,candidate_canonical_name,candidate_identifier,match_basis,similarity_score,reason_for_review,status,reviewer,review_date
GSS,2008-2024,1066,Auburn University,,100830,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2008-2024,1066,Auburn University,,100858,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2018-2021,3006,California University of Science and Medicine,,,GSS-provided school-level IPEDS UNITID,,GSS supplies no usable IPEDS UNITID,pending,,
GSS,2015-2024,2959,Cedars-Sinai Medical Center,,,GSS-provided school-level IPEDS UNITID,,GSS supplies no usable IPEDS UNITID,pending,,
GSS,2023-2024,1084,Cornell University,,190415,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2023-2024,1084,Cornell University,,190424,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2014-2014,2887,"Elmezzi Graduate School of Molecular Medicine, The",,,GSS-provided school-level IPEDS UNITID,,GSS supplies no usable IPEDS UNITID,pending,,
GSS,2023-2024,638,Embry-Riddle Aeronautical University,,104586,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2023-2024,638,Embry-Riddle Aeronautical University,,133553,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2008-2018,1079,Fairleigh Dickinson University,,184603,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2008-2018,1079,Fairleigh Dickinson University,,184694,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2011-2024,1071,Indiana University,,151111,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
GSS,2011-2024,1071,Indiana University,,151342,GSS-provided school-level IPEDS UNITID,,Reporting institution maps to multiple school UNITIDs,pending,,
