year,gdp_implicit_price_deflator_2017_100,to_constant_2017_dollars
2008,88.013,1.136195789258405
2009,88.556,1.1292289624644294
2010,89.632,1.1156729739378792
2011,91.481,1.0931231621866837
2012,93.185,1.0731340881043085
2013,94.771,1.0551751063088919
2014,96.421,1.0371184700428329
2015,97.316,1.0275802540178387
2016,98.241,1.0179049480359523
2017,100.0,1.0
2018,102.291,0.9776031126883108
2019,103.979,0.9617326575558526
2020,105.377,0.9489736849597161
2021,110.186,0.9075563138692755
2022,118.023,0.8472924768900977
2023,122.39,0.8170602173380178
2024,125.428,0.7972701470166151
