source,year,variable,source_columns,structurally_available,institutions_nonmissing,institutions_total
GSS,2008,graduate_students,pt_tot_all_races_v|ft_tot_all_races_v,True,579,579
GSS,2008,doctoral_students,,False,0,579
GSS,2008,full_time_doctoral_students,,False,0,579
GSS,2008,research_assistants,ft_rsch_asst_all_srces_v,True,579,579
GSS,2008,doctoral_research_assistants,,False,0,579
GSS,2008,teaching_assistants,ft_tchg_asst_all_srces_v,True,579,579
GSS,2008,fellowship_students,ft_felshp_all_srces_v,True,579,579
GSS,2008,traineeship_students,ft_trneeshp_all_srces_v,True,579,579
GSS,2008,postdocs,pd_tot_all_srces_v,True,579,579
GSS,2008,federally_supported_postdocs,pd_tot_fed_all_srces_v,True,0,579
GSS,2008,nonfederally_supported_postdocs,pd_tot_nonfed_all_srces_v,True,0,579
GSS,2008,institution_supported_students,ft_tot_nonfed_inst_sup_v,True,579,579
GSS,2008,self_supported_students,ft_tot_self_sup_v,True,579,579
GSS,2008,federally_supported_students,ft_tot_fed_dod_v|ft_tot_fed_hhs_nih_v|ft_tot_fed_hhs_oth_v|ft_tot_fed_nsf_v|ft_tot_fed_doa_v|ft_tot_fed_nasa_v|ft_tot_fed_doe_v|ft_tot_fed_oth_v,True,579,579
GSS,2009,graduate_students,pt_tot_all_races_v|ft_tot_all_races_v,True,575,575
GSS,2009,doctoral_students,,False,0,575
GSS,2009,full_time_doctoral_students,,False,0,575
GSS,2009,research_assistants,ft_rsch_asst_all_srces_v,True,575,575
GSS,2009,doctoral_research_assistants,,False,0,575
GSS,2009,teaching_assistants,ft_tchg_asst_all_srces_v,True,575,575
GSS,2009,fellowship_students,ft_felshp_all_srces_v,True,575,575
GSS,2009,traineeship_students,ft_trneeshp_all_srces_v,True,575,575
GSS,2009,postdocs,pd_tot_all_srces_v,True,575,575
GSS,2009,federally_supported_postdocs,pd_tot_fed_all_srces_v,True,0,575
GSS,2009,nonfederally_supported_postdocs,pd_tot_nonfed_all_srces_v,True,0,575
GSS,2009,institution_supported_students,ft_tot_nonfed_inst_sup_v,True,575,575
GSS,2009,self_supported_students,ft_tot_self_sup_v,True,575,575
GSS,2009,federally_supported_students,ft_tot_fed_dod_v|ft_tot_fed_hhs_nih_v|ft_tot_fed_hhs_oth_v|ft_tot_fed_nsf_v|ft_tot_fed_doa_v|ft_tot_fed_nasa_v|ft_tot_fed_doe_v|ft_tot_fed_oth_v,True,575,575
GSS,2010,graduate_students,pt_tot_all_races_v|ft_tot_all_races_v,True,574,574
GSS,2010,doctoral_students,,False,0,574
GSS,2010,full_time_doctoral_students,,False,0,574
GSS,2010,research_assistants,ft_rsch_asst_all_srces_v,True,574,574
GSS,2010,doctoral_research_assistants,,False,0,574
GSS,2010,teaching_assistants,ft_tchg_asst_all_srces_v,True,574,574
GSS,2010,fellowship_students,ft_felshp_all_srces_v,True,574,574
GSS,2010,traineeship_students,ft_trneeshp_all_srces_v,True,574,574
GSS,2010,postdocs,pd_tot_all_srces_v,True,574,574
GSS,2010,federally_supported_postdocs,pd_tot_fed_all_srces_v,True,574,574
GSS,2010,nonfederally_supported_postdocs,pd_tot_nonfed_all_srces_v,True,574,574
GSS,2010,institution_supported_students,ft_tot_nonfed_inst_sup_v,True,574,574
GSS,2010,self_supported_students,ft_tot_self_sup_v,True,574,574
GSS,2010,federally_supported_students,ft_tot_fed_dod_v|ft_tot_fed_hhs_nih_v|ft_tot_fed_hhs_oth_v|ft_tot_fed_nsf_v|ft_tot_fed_doa_v|ft_tot_fed_nasa_v|ft_tot_fed_doe_v|ft_tot_fed_oth_v,True,574,574
GSS,2011,graduate_students,pt_tot_all_races_v|ft_tot_all_races_v,True,565,565
GSS,2011,doctoral_students,,False,0,565
GSS,2011,full_time_doctoral_students,,False,0,565
GSS,2011,research_assistants,ft_rsch_asst_all_srces_v,True,565,565
GSS,2011,doctoral_research_assistants,,False,0,565
GSS,2011,teaching_assistants,ft_tchg_asst_all_srces_v,True,565,565
GSS,2011,fellowship_students,ft_felshp_all_srces_v,True,565,565
GSS,2011,traineeship_students,ft_trneeshp_all_srces_v,True,565,565
GSS,2011,postdocs,pd_tot_all_srces_v,True,565,565
GSS,2011,federally_supported_postdocs,pd_tot_fed_all_srces_v,True,565,565
GSS,2011,nonfederally_supported_postdocs,pd_tot_nonfed_all_srces_v,True,565,565
GSS,2011,institution_supported_students,ft_tot_nonfed_inst_sup_v,True,565,565
GSS,2011,self_supported_students,ft_tot_self_sup_v,True,565,565
GSS,2011,federally_supported_students,ft_tot_fed_dod_v|ft_tot_fed_hhs_nih_v|ft_tot_fed_hhs_oth_v|ft_tot_fed_nsf_v|ft_tot_fed_doa_v|ft_tot_fed_nasa_v|ft_tot_fed_doe_v|ft_tot_fed_oth_v,True,565,565
GSS,2012,graduate_students,pt_tot_all_races_v|ft_tot_all_races_v,True,565,565
GSS,2012,doctoral_students,,False,0,565
GSS,2012,full_time_doctoral_students,,False,0,565
GSS,2012,research_assistants,ft_rsch_asst_all_srces_v,True,565,565
GSS,2012,doctoral_research_assistants,,False,0,565
GSS,2012,teaching_assistants,ft_tchg_asst_all_srces_v,True,565,565
GSS,2012,fellowship_students,ft_felshp_all_srces_v,True,565,565
GSS,2012,traineeship_students,ft_trneeshp_all_srces_v,True,565,565
GSS,2012,postdocs,pd_tot_all_srces_v,True,565,565
GSS,2012,federally_supported_postdocs,pd_tot_fed_all_srces_v,True,565,565
GSS,2012,nonfederally_supported_postdocs,pd_tot_nonfed_all_srces_v,True,565,565
GSS,2012,institution_supported_students,ft_tot_nonfed_inst_sup_v,True,565,565
GSS,2012,self_supported_students,ft_tot_self_sup_v,True,565,565
GSS,2012,federally_supported_students,ft_tot_fed_dod_v|ft_tot_fed_hhs_nih_v|ft_tot_fed_hhs_oth_v|ft_tot_fed_nsf_v|ft_tot_fed_doa_v|ft_tot_fed_nasa_v|ft_tot_fed_doe_v|ft_tot_fed_oth_v,True,565,565
GSS,2013,graduate_students,pt_tot_all_races_v|ft_tot_all_races_v,True,564,564
GSS,2013,doctoral_students,,False,0,564
GSS,2013,full_time_doctoral_students,,False,0,564
GSS,2013,research_assistants,ft_rsch_asst_all_srces_v,True,564,564
GSS,2013,doctoral_research_assistants,,False,0,564
GSS,2013,teaching_assistants,ft_tchg_asst_all_srces_v,True,564,564
