source,year,variable,source_rows,structurally_available,institutions_nonmissing,institutions_total
HERD,2008,business_rd_nominal_thousands,business|industry,True,497,690
HERD,2008,federal_rd_nominal_thousands,federal|federal government,True,685,690
HERD,2008,institution_rd_nominal_thousands,"institution funds|institution funds, total",True,556,690
HERD,2008,nonprofit_rd_nominal_thousands,nonprofit organizations,False,0,690
HERD,2008,other_rd_nominal_thousands,all other sources,True,495,690
HERD,2008,state_local_rd_nominal_thousands,state and local government,True,527,690
HERD,2008,total_rd_nominal_thousands,total,True,690,690
HERD,2009,business_rd_nominal_thousands,business|industry,True,508,708
HERD,2009,federal_rd_nominal_thousands,federal|federal government,True,701,708
HERD,2009,institution_rd_nominal_thousands,"institution funds|institution funds, total",True,572,708
HERD,2009,nonprofit_rd_nominal_thousands,nonprofit organizations,False,0,708
HERD,2009,other_rd_nominal_thousands,all other sources,True,504,708
HERD,2009,state_local_rd_nominal_thousands,state and local government,True,555,708
HERD,2009,total_rd_nominal_thousands,total,True,708,708
HERD,2010,business_rd_nominal_thousands,business|industry,True,534,744
HERD,2010,federal_rd_nominal_thousands,federal|federal government,True,737,744
HERD,2010,institution_rd_nominal_thousands,"institution funds|institution funds, total",True,634,744
HERD,2010,nonprofit_rd_nominal_thousands,nonprofit organizations,True,586,744
HERD,2010,other_rd_nominal_thousands,all other sources,True,269,744
HERD,2010,state_local_rd_nominal_thousands,state and local government,True,587,744
HERD,2010,total_rd_nominal_thousands,total,True,744,744
HERD,2011,business_rd_nominal_thousands,business|industry,True,610,912
HERD,2011,federal_rd_nominal_thousands,federal|federal government,True,896,912
HERD,2011,institution_rd_nominal_thousands,"institution funds|institution funds, total",True,769,912
HERD,2011,nonprofit_rd_nominal_thousands,nonprofit organizations,True,698,912
HERD,2011,other_rd_nominal_thousands,all other sources,True,284,912
HERD,2011,state_local_rd_nominal_thousands,state and local government,True,660,912
HERD,2011,total_rd_nominal_thousands,total,True,912,912
HERD,2012,business_rd_nominal_thousands,business|industry,True,606,894
HERD,2012,federal_rd_nominal_thousands,federal|federal government,True,878,894
HERD,2012,institution_rd_nominal_thousands,"institution funds|institution funds, total",True,782,894
HERD,2012,nonprofit_rd_nominal_thousands,nonprofit organizations,True,699,894
HERD,2012,other_rd_nominal_thousands,all other sources,True,291,894
HERD,2012,state_local_rd_nominal_thousands,state and local government,True,650,894
HERD,2012,total_rd_nominal_thousands,total,True,894,894
HERD,2013,business_rd_nominal_thousands,business|industry,True,573,886
HERD,2013,federal_rd_nominal_thousands,federal|federal government,True,874,886
HERD,2013,institution_rd_nominal_thousands,"institution funds|institution funds, total",True,781,886
HERD,2013,nonprofit_rd_nominal_thousands,nonprofit organizations,True,685,886
HERD,2013,other_rd_nominal_thousands,all other sources,True,410,886
