source,year,variable,nonmissing_count,institution_count
IPEDS,2008,unitid,7126,7126
IPEDS,2008,institution_name_ipeds,7126,7126
IPEDS,2008,control,7126,7126
IPEDS,2008,degree_granting,7126,7126
IPEDS,2008,graduate_offering,7126,7126
IPEDS,2008,highest_degree_offered,7126,7126
IPEDS,2008,has_hospital,7126,7126
IPEDS,2008,grants_medical_degree,7126,7126
IPEDS,2008,carnegie_basic_2005_or_2021,7126,7126
IPEDS,2008,carnegie_2000,7126,7126
IPEDS,2008,year,7126,7126
IPEDS,2008,directory_final_revised_file,7126,7126
IPEDS,2008,total_enrollment,6886,7126
IPEDS,2008,graduate_enrollment,1968,7126
IPEDS,2008,enrollment_final_revised_file,6886,7126
IPEDS,2008,full_time_instruction_research_staff,6695,7126
IPEDS,2008,full_time_instruction_research_faculty,4407,7126
IPEDS,2008,full_time_tenured_or_tenure_track_ir_staff,2310,7126
IPEDS,2008,full_time_primarily_research_staff,383,7126
IPEDS,2008,employees_schema,6957,7126
IPEDS,2008,employees_final_revised_file,6957,7126
IPEDS,2008,total_revenue_nominal,3821,7126
IPEDS,2008,tuition_revenue_nominal,3821,7126
IPEDS,2008,federal_appropriations_nominal,3821,7126
IPEDS,2008,state_appropriations_nominal,3821,7126
IPEDS,2008,local_appropriations_nominal,3821,7126
IPEDS,2008,research_expense_nominal,3821,7126
IPEDS,2008,endowment_assets_end_nominal,2746,7126
IPEDS,2008,finance_form,3821,7126
IPEDS,2008,finance_final_revised_file,3821,7126
IPEDS,2009,unitid,7316,7316
IPEDS,2009,institution_name_ipeds,7316,7316
IPEDS,2009,control,7316,7316
IPEDS,2009,degree_granting,7316,7316
IPEDS,2009,graduate_offering,7316,7316
IPEDS,2009,highest_degree_offered,7316,7316
IPEDS,2009,has_hospital,7316,7316
IPEDS,2009,grants_medical_degree,7316,7316
IPEDS,2009,carnegie_basic_2005_or_2021,7316,7316
IPEDS,2009,carnegie_2000,7316,7316
IPEDS,2009,year,7316,7316
IPEDS,2009,directory_final_revised_file,7316,7316
IPEDS,2009,total_enrollment,6990,7316
IPEDS,2009,graduate_enrollment,2036,7316
IPEDS,2009,enrollment_final_revised_file,6990,7316
IPEDS,2009,full_time_instruction_research_staff,6789,7316
IPEDS,2009,full_time_instruction_research_faculty,4509,7316
IPEDS,2009,full_time_tenured_or_tenure_track_ir_staff,2301,7316
IPEDS,2009,full_time_primarily_research_staff,371,7316
IPEDS,2009,employees_schema,7056,7316
IPEDS,2009,employees_final_revised_file,7056,7316
IPEDS,2009,total_revenue_nominal,3844,7316
IPEDS,2009,tuition_revenue_nominal,3844,7316
IPEDS,2009,federal_appropriations_nominal,3844,7316
IPEDS,2009,state_appropriations_nominal,3844,7316
IPEDS,2009,local_appropriations_nominal,3844,7316
IPEDS,2009,research_expense_nominal,3844,7316
IPEDS,2009,endowment_assets_end_nominal,2731,7316
IPEDS,2009,finance_form,3844,7316
IPEDS,2009,finance_final_revised_file,3844,7316
IPEDS,2010,unitid,7503,7503
IPEDS,2010,institution_name_ipeds,7503,7503
IPEDS,2010,control,7503,7503
IPEDS,2010,degree_granting,7503,7503
IPEDS,2010,graduate_offering,7503,7503
IPEDS,2010,highest_degree_offered,7503,7503
