project_num,activity_code,fiscal_year,project_title,org_name,org_city,org_state,dept_type,pi_name,award_amount,project_start_date,project_end_date,ic_name
1F31HD115394-01A1,F31,2024,Deciphering the role of the vaginal microbiome in spontaneous preterm birth via consideration of host genetics,COLUMBIA UNIVERSITY HEALTH SCIENCES,NEW YORK,NY,OBSTETRICS & GYNECOLOGY,Julia Anh Urban,48974,2025-09-01T00:00:00,2028-08-31T00:00:00,Eunice Kennedy Shriver National Institute of Child Health and Human Development
1F31HL175929-01,F31,2024,Neuroinflammation as a mediator of the exaggerated Piezo2 and Exercise Pressor Reflex in Peripheral Artery Disease,UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,INTERNAL MEDICINE/MEDICINE,Eunice  Oribamise,40431,2025-03-05T00:00:00,2030-03-04T00:00:00,National Heart Lung and Blood Institute
1F31AA032187-01,F31,2024,Ecological mechanisms for Alcohol Use Disorder recovery in workplace contexts,UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MO,PSYCHOLOGY,Mairead A. Willis,40219,2025-03-01T00:00:00,2027-02-28T00:00:00,National Institute on Alcohol Abuse and Alcoholism
1F31MH139309-01,F31,2024,Understanding the mechanisms by which vCA1 orchestrates avoidance behavior,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,NEUROLOGY,Rachel  O'Sullivan,48974,2025-02-27T00:00:00,2027-02-26T00:00:00,National Institute of Mental Health
1F31AA032198-01,F31,2024,Prenatal alcohol exposure and acute alcohol: the role of CRFR1 in the extended amygdala,"STATE UNIVERSITY OF NY,BINGHAMTON",BINGHAMTON,NY,PSYCHOLOGY,Sarah  Winchester,33634,2025-02-24T00:00:00,2027-02-23T00:00:00,National Institute on Alcohol Abuse and Alcoholism
1F31HL176117-01,F31,2024,Dissecting the role of vascular endothelial BMP9 signaling in lung transplantation,NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,IL,INTERNAL MEDICINE/MEDICINE,Blake  Gill,44187,2025-02-06T00:00:00,2027-02-05T00:00:00,National Heart Lung and Blood Institute
1F31CA294971-01,F31,2024,Implementation Penetration Assessment Criteria Tool for HPV Vaccination- Promoting Uptake among Young Girls in Nigeria,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,NONE,Onyekachukwu  Anikamadu,36801,2025-02-05T00:00:00,2027-02-04T00:00:00,National Cancer Institute
1F31ES036884-01,F31,2024,Protein Modification and Stability Regulation to Cope with Genotoxic Environments,WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,NONE,Tzippora  Chwat-Edelstein,48974,2025-02-01T00:00:00,2028-01-31T00:00:00,National Institute of Environmental Health Sciences
1F31HL176187-01,F31,2024,Structural and biophysical investigation of Scap regulation by cholesterol,UT SOUTHWESTERN MEDICAL CENTER,DALLAS,TX,BIOCHEMISTRY,Blake Christopher Williams,40127,2025-02-01T00:00:00,2028-01-31T00:00:00,National Heart Lung and Blood Institute
1F31MH139286-01,F31,2024,Investigating the role of NLGN3 in autism spectrum disorder and sleep disruptions,BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,GENETICS,Rebekah Elise Townsley,48974,2025-02-01T00:00:00,2027-01-31T00:00:00,National Institute of Mental Health
1F31GM155992-01,F31,2024,Development of Base Metal Pre-catalysts for Applications in Catalytic Reaction Discovery,UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,CHEMISTRY,Joshua  Thedford,42052,2025-02-01T00:00:00,2028-01-31T00:00:00,National Institute of General Medical Sciences
1F31AA032179-01,F31,2024,Investigating neural and behavioral indications of persistent alcohol-related thoughts,YALE UNIVERSITY,NEW HAVEN,CT,RADIATION-DIAGNOSTIC/ONCOLOGY,Jean  Ye,42574,2025-02-01T00:00:00,2027-01-31T00:00:00,National Institute on Alcohol Abuse and Alcoholism
1F31AG087553-01,F31,2024,Deciphering the Role of Glycan Sulfation in Neuroinflammation and Alzheimer's Disease,UNIVERSITY OF WASHINGTON,SEATTLE,WA,PHARMACOLOGY,Cristiana Joy Meuret,48974,2025-01-25T00:00:00,2030-01-24T00:00:00,National Institute on Aging
1F31NS139648-01,F31,2024,Understanding the Molecular Mechanisms of Thermoreceptors,VIRGINIA POLYTECHNIC INST AND ST UNIV,BLACKSBURG,VA,NEUROSCIENCES,Ainul  Huda,45503,2025-01-23T00:00:00,2028-01-22T00:00:00,National Institute of Neurological Disorders and Stroke
1F31AI186509-01,F31,2024,Modeling Hfq-RNA Dynamics on an Atomistic Scale,JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,PHYSIOLOGY,Elise  White,48974,2025-01-17T00:00:00,2029-02-16T00:00:00,National Institute of Allergy and Infectious Diseases
1F31AG086033-01,F31,2024,WIPI2B/ATG-18 phosphorylation regulates neuronal autophagosome biogenesis in vivo,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,NEUROSCIENCES,Heather  Tsong,36960,2025-01-08T00:00:00,2028-01-07T00:00:00,National Institute on Aging
