project_num,activity_code,fiscal_year,project_title,org_name,org_city,org_state,dept_type,pi_name,award_amount,project_start_date,project_end_date,ic_name
1T32TR005124-01,T32,2024,NUCATS T32,NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,IL,PEDIATRICS,Jacqueline Katrina Gollan,355002,2024-09-15T00:00:00,2029-07-31T00:00:00,National Center for Advancing Translational Sciences
1T32AG082658-01A1,T32,2024,Intergenerational Community Driven Training in Alzheimer's Disease Research: An AI+X Approach,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,SCOTTSDALE,AZ,BIOMEDICAL ENGINEERING,JUDITH  KLEIN,340632,2024-09-15T00:00:00,2029-09-14T00:00:00,National Institute on Aging
1T32TR004782-01,T32,2024,"NJ ACTS: A Platform for Translational Science in New Jersey: CTSA Predoctoral T32 at Rutgers, Biomedical Health Sciences",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Newark,NJ,PHARMACOLOGY,ANTONINA  MITROFANOVA,298670,2024-09-01T00:00:00,2029-08-31T00:00:00,National Center for Advancing Translational Sciences
1T32AG087922-01,T32,2024,Alzheimer's Disease Big Data to Biology Training Program (ADBDB-TP),EMORY UNIVERSITY,ATLANTA,GA,PHARMACOLOGY,Todd E Golde,585650,2024-09-01T00:00:00,2029-08-31T00:00:00,National Institute on Aging
1T32CA291654-01,T32,2024,Translational Cancer Biology (TCB) T32 Training Program,UT SOUTHWESTERN MEDICAL CENTER,DALLAS,TX,SURGERY,Rolf A Brekken,432326,2024-09-01T00:00:00,2029-08-31T00:00:00,National Cancer Institute
1T32CA293959-01,T32,2024,ADVANCE Cancer Health Disparities Research (CHDR) Training Program,UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,PUBLIC HEALTH & PREV MEDICINE,Chanita A. Hughes-Halbert,221904,2024-09-01T00:00:00,2029-08-31T00:00:00,NIH Office of the Director
1T32HL175782-01,T32,2024,"Training Health Equity ScholaRs in InnoVation, PrEvention, and Social Impact (THRIVES) Fellowship Program",UNIVERSITY OF CALIFORNIA BERKELEY,BERKELEY,CA,NONE,LIA C. H. FERNALD,168372,2024-09-01T00:00:00,2029-08-31T00:00:00,NIH Office of the Director
1T32CA279363-01A1,T32,2024,"Epigenetics, DNA repair and Genomics (EDGe) Training Program in Cancer",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,SAN ANTONIO,TX,ANATOMY/CELL BIOLOGY,Robin Jean Leach,179264,2024-09-01T00:00:00,2029-08-31T00:00:00,National Cancer Institute
1T32CA282026-01A1,T32,2024,Genetic and Environmental basis of Cancer Risk and Disparities (GECaRD),STANFORD UNIVERSITY,STANFORD,CA,INTERNAL MEDICINE/MEDICINE,MELISSA L. BONDY,166428,2024-09-01T00:00:00,2029-08-31T00:00:00,National Cancer Institute
1T32CA282070-01A1,T32,2024,Surgical Oncology Research Training at Indiana (SORTI),INDIANA UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN,SURGERY,KARL Y BILIMORIA,411824,2024-09-01T00:00:00,2029-08-31T00:00:00,National Cancer Institute
1T32CA285274-01,T32,2024,Multidisciplinary Training in Gastrointestinal Cancers,COLUMBIA UNIVERSITY HEALTH SCIENCES,NEW YORK,NY,INTERNAL MEDICINE/MEDICINE,Julian  Abrams,193144,2024-09-01T00:00:00,2029-08-31T00:00:00,National Cancer Institute
1T32HL170975-01A1,T32,2024,LYMphatics in Pathology and Health (LYMPH),TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,COLLEGE STATION,TX,PHYSIOLOGY,BRETT M MITCHELL,89436,2024-09-01T00:00:00,2029-08-31T00:00:00,National Heart Lung and Blood Institute
1T32MD019780-01,T32,2024,ADVANCE SGM Health for Research Diversity,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,PUBLIC HEALTH & PREV MEDICINE,Emma Sophia Kay,250060,2024-08-29T00:00:00,2025-03-21T00:00:00,NIH Office of the Director
1T32MD019800-01,T32,2024,ALIADOS: Advanced training in Latino multi-level Intervention reseArch for DOctoral Scholars,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,PUBLIC HEALTH & PREV MEDICINE,Noe Cuauhtemoc Crespo,240085,2024-08-26T00:00:00,2029-05-31T00:00:00,NIH Office of the Director
1T32NS131126-01A1,T32,2024,ENLIGHTEN (ENgaging Leaders In Global and local HealTh Equity in Neurology),"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,NEUROLOGY,Felicia C. Chow,232336,2024-08-15T00:00:00,2029-06-30T00:00:00,National Institute of Neurological Disorders and Stroke
1T32AA031818-01,T32,2024,"Alcohol Prevention Research on Violence, Equity, and Novel Techniques (A-PREVENT) Training Program",GEORGIA STATE UNIVERSITY,ATLANTA,GA,PUBLIC HEALTH & PREV MEDICINE,Amanda Katherine Gilmore,209145,2024-08-15T00:00:00,2029-07-31T00:00:00,NIH Office of the Director
1T32TR004396-01A1,T32,2024,CTSA Postdoctoral T32 at The Scripps Research Institute,"SCRIPPS RESEARCH INSTITUTE, THE",LA JOLLA,CA,,Katja A Lamia,256717,2024-08-05T00:00:00,2029-07-31T00:00:00,National Center for Advancing Translational Sciences
1T32GM154636-01,T32,2024,Texas Doctoral Bridge Program,TEXAS STATE UNIVERSITY,SAN MARCOS,TX,,DAVID STEVEN LIBICH,315598,2024-08-01T00:00:00,2029-07-31T00:00:00,National Institute of General Medical Sciences
1T32TR004905-01,T32,2024,CTSA Predoctoral T32 at the University of Texas Health Science Center at Houston,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,BIOLOGY,Joya  Chandra,265752,2024-08-01T00:00:00,2029-06-30T00:00:00,National Center for Advancing Translational Sciences
1T32HL175583-01,T32,2024,Academic Learning Health System Preventions for Promoting Health Equity (aLHS-PRE) Predoctoral Training Program,WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NC,PUBLIC HEALTH & PREV MEDICINE,Alain Gerald Bertoni,279071,2024-08-01T00:00:00,2025-07-31T00:00:00,NIH Office of the Director
1T32TR004904-01,T32,2024,CTSA Postdoctoral T32 at the University of Texas Health Science Center at Houston,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,MISCELLANEOUS,Joya  Chandra,259042,2024-08-01T00:00:00,2029-06-30T00:00:00,National Center for Advancing Translational Sciences
1T32TR004915-01,T32,2024,CTSA Postdoctoral T32 at Wake Forest,WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NC,INTERNAL MEDICINE/MEDICINE,Thomas K Houston,209340,2024-07-22T00:00:00,2029-06-30T00:00:00,National Center for Advancing Translational Sciences
1T32GM150479-01A1,T32,2024,BMI Bioinformatics Training Grant,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,PHARMACOLOGY,Ryan D. Hernandez,518179,2024-07-15T00:00:00,2029-06-30T00:00:00,National Institute of General Medical Sciences
1T32NS131129-01A1,T32,2024,Training Program in Neuroscience at Stony Brook University: Fostering Quantitative Literacy and Experimental Rigor,STATE UNIVERSITY NEW YORK STONY BROOK,STONY BROOK,NY,OTHER BASIC SCIENCES,Arianna  Maffei,110844,2024-07-10T00:00:00,2029-06-30T00:00:00,National Institute of Mental Health
1T32NS131140-01A1,T32,2024,"Broad-based Research, Analytics and Innovation in Neuroscience (B2RAIN) predoctoral Training Program",UNIVERSITY OF FLORIDA,GAINESVILLE,FL,NEUROSCIENCES,JENNIFER Lynn BIZON,110844,2024-07-09T00:00:00,2029-06-30T00:00:00,National Institute on Aging
1T32NS136080-01,T32,2024,"Graduate Training at the Interface of Neuroscience, Optical Engineering and Data Science",BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),BOSTON,MA,ENGINEERING (ALL TYPES),David A Boas,167378,2024-07-08T00:00:00,2029-06-30T00:00:00,National Institute of Neurological Disorders and Stroke
1T32AI184340-01,T32,2024,MMI-T32 Training Pre-doctoral Scientists in Molecular Microbiology and Immunology at UTSA,UNIVERSITY OF TEXAS SAN ANTONIO,SAN ANTONIO,TX,VETERINARY SCIENCES,Astrid E Cardona,142599,2024-07-05T00:00:00,2029-06-30T00:00:00,National Institute of Allergy and Infectious Diseases
1T32TR004389-01A1,T32,2024,CTSA Postdoctoral T32 at Indiana University,INDIANA UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN,BIOCHEMISTRY,THOMAS D. HURLEY,253555,2024-07-03T00:00:00,2029-06-30T00:00:00,National Center for Advancing Translational Sciences
1T32GM153375-01,T32,2024,Fundamental Training Program in Biochemistry and Molecular Biology Research,UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NE,BIOCHEMISTRY,Steven H Caplan,320742,2024-07-01T00:00:00,2029-06-30T00:00:00,National Institute of General Medical Sciences
