"Area","gradstudents_per_faculty","funded_per_faculty","unfunded_per_faculty","tt_headcount","UniquePeople","Productivity","ProductivityWithDeptCollabs","ProductivityWithoutDeptCollabs","ProductivityFirstAuthor","ProductivityLastAuthor","WindowedGroupSize","WindowedGroupSize4","YearGroupSize","YearsSinceDegree","CumulativeGroupSize","uniform_percentile","ft_funded","Umbrella","FundedRatioQuartile","NumFundedQuartile","PrestigeSegment","FundedRatioTopHalf","ProductivityMedian","ProductivityWithDeptCollabsMedian","ProductivityWithoutDeptCollabsMedian","ProductivityFirstAuthorMedian","ProductivityLastAuthorMedian","YearGroupSizeMedian","YearsSinceDegreeMedian","CumulativeGroupSizeMedian","WindowedGroupSizeMedian","WindowedGroupSize4Median","ProductivityVariance","ProductivityWithDeptCollabsVariance","ProductivityWithoutDeptCollabsVariance","YearGroupSizeVariance","ProductivitySD","YearGroupSizeSD","CONTROL","AreaHasCollabNorm","log_funded_per_faculty_p1","log_unfunded_per_faculty_p1","pi_tritile","pi_decile","uniform_percentile100","scale_log_funded_per_faculty_p1","scale_log_unfunded_per_faculty_p1","scale_uniform_percentile100","log_tt_headcount","scale_tt_headcount"
"Economics",6,0.125,5.875,8,22,1.07072510822511,0.21758658008658,0.853138528138528,0.531908369408369,0.533297258297258,1.45369769119769,1.60692640692641,0.788528138528139,22.6818181818182,2.18181818181818,0.550898203592814,1,"Social Sciences",1,0,6,"False",0.866071428571429,0.133928571428571,0.619047619047619,0.354166666666667,0.414285714285714,0.714285714285714,21,1.5,1.29861111111111,1.36666666666667,1.10039602952372,0.0747139045813932,0.841272194463804,0.219862654457326,1.04899763084753,0.468895142283779,1,FALSE,0.169925001442312,2.78135971352466,2,6,55.0898203592814,-0.964348889080722,1.22689139951436,0.188234575577782,3,-1.09383263466993
"Anthropology",0.651162790697674,0,0.651162790697674,43,7,0.483843537414966,0,0.483843537414966,0.351190476190476,0.143707482993197,0.649659863945578,0.69047619047619,0.407312925170068,21.7142857142857,1,0.507246376811594,0,"Social Sciences",0,0,6,"False",0.333333333333333,0,0.333333333333333,0.333333333333333,0.142857142857143,0.333333333333333,15,1,0.571428571428571,0.571428571428571,0.144896946873988,0,0.144896946873988,0.0898981616456106,0.380653315858391,0.299830221368045,1,FALSE,0,0.723482364802584,2,5,50.7246376811594,-1.13066826005398,-0.72304302656151,0.0199757464850663,5.4262647547021,1.41874368468683
"Mathematical Sciences",1.3,0.271428571428571,1.02857142857143,70,65,1.24061613600075,0.532017939325632,0.70859819667512,0.405702075702076,0.469850662158354,2.50148821264206,2.89808068000376,1.28020663097586,20.3538461538462,5.16923076923077,0.42713567839196,19,"Formal Sciences",1,3,5,"False",1,0.333333333333333,0.5,0.2,0.142857142857143,1.22222222222222,20,4,2.33333333333333,2.66666666666667,1.2904584777033,0.470184920406725,0.509298354403725,0.932558929887833,1.13598348478457,0.965690908048654,0,FALSE,0.346450414021431,1.02046410255972,2,4,42.713567839196,-0.791569160778524,-0.441639028053981,-0.288816194375617,6.12928301694497,2.14677100914247
"Biological Sciences",2.66666666666667,0.857142857142857,1.80952380952381,21,50,2.24094848484849,1.66570822510823,0.575240259740259,0.169661616161616,1.14338225108225,9.68866406926407,11.2834063492064,4.42963982683983,18.62,19.9,0.294478527607362,18,"Natural Sciences",1,1,3,"False",1.9375,1.36931818181818,0.333333333333333,0,0.9375,3.88888888888889,12,16.5,7.85,8.95,3.22808096310075,2.19461648329317,0.70313746611558,15.149457892179,1.79668610589072,3.89223045209029,0,TRUE,0.893084796083488,1.49032562658308,1,3,29.4478527607362,-0.256533787494857,0.00357660238705876,-0.800151881966933,4.39231742277876,0.348014871346073
"Political Science",16.6363636363636,1.45454545454545,15.1818181818182,11,50,0.941126262626263,0.258005772005772,0.683120490620491,0.520793650793651,0.448495670995671,1.8195404040404,2.01762987012987,0.923073593073593,17.7,3.18,0.45679012345679,16,"Social Sciences",2,2,5,"True",0.8,0.0416666666666667,0.5,0.366666666666667,0.409722222222222,0.844444444444444,13,2,1.5,1.75,0.598112817543607,0.123495168802952,0.434585187667422,0.479361064069187,0.773377538815039,0.692359057187228,0,FALSE,1.29545588352617,4.0163018123291,2,5,45.679012345679,0.137299407110181,2.39705643105258,-0.174511191081935,3.4594316186373,-0.6180572671571
"Chemical Sciences",1.23333333333333,0.366666666666667,0.866666666666667,30,29,1.577969348659,1.24761904761905,0.330350301039956,0.16551724137931,0.901176792556103,5.63325123152709,6.47015599343185,2.69035303776683,21.5172413793103,12.0344827586207,0.345971563981043,11,"Natural Sciences",0,0,4,"False",1.44444444444444,1,0.142857142857143,0,0.666666666666667,2,16,10,5,5.6,3.25354699389791,2.42368049931613,0.265202446422831,5.95839755992253,1.80375912856953,2.44098290856829,0,TRUE,0.450661409009565,0.900464326449086,1,4,34.5971563981043,-0.689569413903091,-0.555344392809961,-0.601668596259596,4.90689059560852,0.880893390115584
"Physical Sciences",10.5,2,8.5,2,26,1.05880647130647,0.70254884004884,0.356257631257631,0.0501526251526252,0.327503052503052,5.06504884004884,5.7459706959707,2.60657814407814,20,10,0.298507462686567,4,"Natural Sciences",2,0,3,"True",0.857142857142857,0.142857142857143,0,0,0,1.23214285714286,18.5,3,2,2,1.44923907809563,0.757779291673934,0.313250003876194,11.9088332347326,1.20384346079365,3.45091773804196,0,TRUE,1.58496250072116,3.24792751344359,1,3,29.8507462686567,0.420662997257398,1.66898607329331,-0.784622087479402,1,-3.16498032330316
"Biological Sciences",3.81818181818182,3.27272727272727,0.545454545454545,11,32,2.19002976190476,1.3257564484127,0.864273313492063,0.222594246031746,1.06623263888889,5.63213045634921,6.52521081349206,2.88769841269841,24.5625,12.6875,0.569148936170213,36,"Natural Sciences",3,2,6,"True",1.53571428571429,1,0.55,0.111111111111111,0.8,2.70138888888889,24.5,9.5,5.76190476190476,6.38888888888889,2.84023973851787,1.17753284892773,0.709190058481203,2.52781885215257,1.68530108245318,1.58991158626905,0,TRUE,2.09515723304034,0.628031222613042,2,6,56.9148936170213,0.92003193198124,-0.813487419799636,0.258583221212893,3.4594316186373,-0.6180572671571
"Engineering",1.26666666666667,0.4,0.866666666666667,15,27,1.83793356848912,1.15451205173427,0.68342151675485,0.336155202821869,0.502307466196355,4.25693709582598,4.6854203409759,2.50517342739565,19.6296296296296,6.55555555555556,0.421875,6,"Engineering",0,0,5,"False",1.66666666666667,0.875,0.5,0.142857142857143,0.333333333333333,2,18,4,3.25,3.6,3.29789128073409,1.80918317862652,0.496275477902462,5.04072704664856,1.81600971383253,2.24515635238363,0,TRUE,0.485426827170242,0.900464326449086,2,4,42.1875,-0.655541681485687,-0.555344392809961,-0.309093824242079,3.90689059560852,-0.154680454201032
"Health",1.04166666666667,0,1.04166666666667,24,1,0,0,0,0,0,0.2,0.4,0,19,2,0.184782608695652,0,"Medicine and Health",0,0,2,"False",0,0,0,0,0,0,19,2,0.2,0.4,NA,NA,NA,NA,NA,NA,1,TRUE,0,1.02974734339405,1,2,18.4782608695652,-1.13066826005398,-0.432842725932444,-1.22298199546574,4.58496250072116,0.547513075299553
