prestige_segment_equispaced,Area,ft_funded,ft_unfunded,tt_headcount,funded_tt_ratio,unfunded_tt_ratio,AreaHasCollabNorm
1,Agriculture,486,228,420,1.1571428571428573,0.5428571428571428,TRUE
1,Anthro.,77,299,202,0.3811881188118812,1.4801980198019802,FALSE
1,Arch. & Design,6,241,179,0.0335195530726257,1.3463687150837989,TRUE
1,Bio. Sci.,645,995,1389,0.46436285097192226,0.7163426925845933,TRUE
1,Chem. Sci.,348,450,681,0.5110132158590308,0.6607929515418502,TRUE
1,Comp. Sci.,236,1342,605,0.39008264462809916,2.2181818181818183,TRUE
1,Earth Sci.,98,267,441,0.2222222222222222,0.6054421768707483,TRUE
1,Econ.,101,377,277,0.36462093862815886,1.3610108303249098,FALSE
1,Engineering,583,2207,1436,0.40598885793871864,1.536908077994429,TRUE
1,Geogr.,25,103,105,0.23809523809523808,0.9809523809523809,FALSE
1,Health,116,1011,1081,0.10730804810360776,0.9352451433857539,TRUE
1,Math. Sci.,52,388,489,0.10633946830265849,0.7934560327198364,FALSE
1,Medical Sci.,254,385,758,0.33509234828496043,0.5079155672823219,TRUE
1,Physical Sci.,197,288,436,0.4518348623853211,0.6605504587155964,TRUE
1,Polit. Sci.,124,655,279,0.4444444444444444,2.347670250896057,FALSE
1,Psychol. Sci.,237,1077,529,0.44801512287334594,2.0359168241965975,TRUE
1,Sociol.,23,81,255,0.09019607843137255,0.3176470588235294,FALSE
2,Agriculture,759,366,507,1.4970414201183433,0.7218934911242604,TRUE
2,Anthro.,65,230,172,0.37790697674418605,1.3372093023255813,FALSE
2,Arch. & Design,50,221,135,0.37037037037037035,1.637037037037037,TRUE
2,Bio. Sci.,638,879,1421,0.4489795918367347,0.6185784658691063,TRUE
2,Chem. Sci.,476,877,714,0.6666666666666666,1.2282913165266107,TRUE
2,Comp. Sci.,323,1401,544,0.59375,2.5753676470588234,TRUE
2,Earth Sci.,135,236,392,0.34438775510204084,0.6020408163265306,TRUE
2,Econ.,117,483,279,0.41935483870967744,1.7311827956989247,FALSE
2,Engineering,443,847,1484,0.29851752021563344,0.5707547169811321,TRUE
2,Geogr.,31,88,94,0.32978723404255317,0.9361702127659575,FALSE
