"funded_per_faculty_x","Area","Productivity_x","ProductivityWithDeptCollabs_x","ProductivityWithoutDeptCollabs_x","YearGroupSize_x","Title_x","uniform_percentile_x","UpwardMove","WindowedGroupSize_x","WindowedGroupSize4_x","Gender","Productivity_y","ProductivityWithDeptCollabs_y","ProductivityWithoutDeptCollabs_y","YearGroupSize_y","WindowedGroupSize_y","WindowedGroupSize4_y","PersonId"
0.5,"Biological Sciences",1.33333333333333,1,0.333333333333333,2,"Assistant Professor",0.833962264150943,0,3.66666666666667,4.33333333333333,"Male",0,0,0,0,0,0,"b9a01f47e137218fb0bfa7423601fdf2"
0.994318181818182,"Engineering",0,0,0,0,"Professor",0.87378640776699,0,0,0,"Male",3,1.5,1.5,4.5,9,10.5,"48b5a310107633e96f3b209f4c833ed7"
0.994318181818182,"Engineering",0,0,0,0,"Associate Professor",0.87378640776699,1,0,0,"Male",2,1,1,2,4,4,"b46ee8dfc2ef47a1c25a68a3e2100179"
2.26190476190476,"Chemical Sciences",2.33333333333333,1.33333333333333,1,2.66666666666667,"Assistant Professor",0.69672131147541,1,8.66666666666667,10,"Male",2.5,1,1.5,3.5,6.5,7,"95360db1670dcda8fb6b5c6c680d74ac"
3,"Chemical Sciences",2,2,0,3,"Assistant Professor",0.282786885245902,0,14,17.5,"Unknown",4,3,1,6,10,10,"6b153c88258136e3c74b36576c28a681"
0.76,"Biological Sciences",0.333333333333333,0.333333333333333,0,1,"Professor",0.879245283018868,0,3,3,"Male",3,0,3,1,1,1,"8ce9326482f71235509e4d2d5aa0dfc3"
2.08695652173913,"Chemical Sciences",2,2,0,4,"Professor",0.89344262295082,1,8,8.5,"Male",1,0.5,0.5,1,1,1,"1a6b68e636164f230760044c0ac19b7f"
1.6,"Computational Sciences",2.33333333333333,2,0.333333333333333,4,"Associate Professor",0.162162162162162,1,6,7,"Female",3,1.5,1.5,3.5,11,11,"d5fc13e65dbe4cbd6cf6cf68315e1768"
0.12987012987013,"Health",1.5,0.5,1,1,"Professor",0.293023255813953,1,1.5,3,"Female",1.5,0,1.5,0.5,1,1,"11e21b80becb487b956af765a3eebb84"
0.146496815286624,"Health",8,2.66666666666667,5.33333333333333,5,"Professor",0.67906976744186,0,8.66666666666667,9,"Female",0,0,0,0,0,0,"2788c320bf425d4702192e4f1405a37f"
1.44444444444444,"Computational Sciences",1.75,0.75,1,2.25,"Professor",0.536036036036036,1,5.5,7,"Female",0,0,0,0,0,0,"10f62ec41f236a1133661e2753ae544e"
0.476190476190476,"Health",0,0,0,0,"Associate Professor",0.827906976744186,0,0,0,"Female",2.5,1,1.5,4.5,6.5,6.5,"0bf72fecbca9985cb07e13fa3a9dd5ef"
