org_key,display_name,institution_state,carnegie_code_2021,dr_ft_tot_all_races_v,dr_ft_ra_all_v,dr_ft_fel_all_v,dr_ft_trn_all_v,dr_ft_ta_all_v,dr_ft_ots_all_v,dr_ft_tot_fed_all_v,dr_ft_tot_nfed_inst_v,pd_tot_all_v,pd_tot_fed_all_v,total_dr_ft,ra_share,fellow_trainee_share,ta_other_share,federal_support_share,institutional_support_share,postdocs_per_100_doctoral,car_group,f_award_years,f31_award_years,f32_award_years,t32_award_years,f_unique_projects,t32_unique_projects,f_total_cost,t32_total_cost,f_awards_per_100_doctoral,t32_awards_per_100_doctoral,expected_f_award_years,f_training_residual,f_training_ratio,f_training_residual_rank_over,f_training_residual_percentile,ra_share_peer_z,ta_other_share_peer_z,ra_share_percentile,ta_other_share_percentile,obligation_risk_z,obligation_risk_rank_over,obligation_risk_percentile
A T STILL UNIVERSITY,A.T. Still University,MO,25,98,0,9,0,27,62,4,30,2,0,98,0,0.09183673469387756,0.9081632653061225,0.04081632653061224,0.30612244897959184,2.0408163265306123,other,0,0,0,0,0,0,0,0,0,0,0.8833223907484542,-0.5981951742227108,0.36144864230056467,224,26.158940397350992,NA,NA,NA,NA,NA,NA,NA
ABILENE CHRISTIAN UNIVERSITY,Abilene Christian University,TX,17,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,other_doctoral,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADELPHI UNIVERSITY,Adelphi University,NY,17,81,0,0,0,0,81,0,0,0,0,81,0,0,1,0,0,0,other_doctoral,0,0,0,0,0,0,0,0,0,0,0.31994253917515736,-0.4570053351984635,0.609798828711812,153,49.668874172185426,NA,NA,NA,NA,NA,NA,NA
AIR FORCE INSTITUTE OF TECHNOLOGY,Air Force Institute of Technology,OH,16,99,0,0,0,0,99,97,0,0,0,99,0,0,1,0.9797979797979798,0,0,other_doctoral,0,0,0,0,0,0,0,0,0,0,0.3352244068474497,-0.46396086743037246,0.5986415098754686,154,49.337748344370866,NA,NA,NA,NA,NA,NA,NA
ALABAMA A AND M UNIVERSITY,Alabama A&M University,AL,18,16,0,0,0,3,13,1,11,3,0,16,0,0,1,0.0625,0.6875,18.75,other_doctoral,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALABAMA STATE UNIVERSITY,Alabama State University,AL,17,5,0,4,0,0,1,1,4,0,0,5,0,0.8,0.2,0.2,0.8,0,other_doctoral,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALASKA PACIFIC UNIVERSITY,Alaska Pacific University,AK,22,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,other,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALBANY COLLEGE OF PHARMACY AND,Albany College of Pharmacy and Health Sciences,NY,26,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,other,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALBANY MEDICAL COLLEGE,Albany Medical College,NY,25,57,22,0,33,0,2,8,48,15,12,57,0.38596491228070173,0.5789473684210527,0.03508771929824561,0.14035087719298245,0.8421052631578947,26.31578947368421,other,4,4,0,0,2,0,161937,0,7.017543859649122,0,1.5207721045614795,1.070298568906349,2.2268715951898637,29,90.72847682119205,NA,NA,NA,NA,NA,NA,NA
ALBERT EINSTEIN COLLEGE OF MEDICINE,Albert Einstein College of Medicine,NY,27,351,101,49,61,0,140,182,150,240,158,351,0.28774928774928776,0.31339031339031337,0.39886039886039887,0.5185185185185185,0.42735042735042733,68.37606837606837,other,97,86,11,29,43,9,4550429,12529152,27.635327635327634,8.262108262108262,57.19194549029977,0.5370151915240509,1.6900106101707644,51,83.44370860927152,NA,NA,NA,NA,NA,NA,NA
ALBIZU UNIVERSITY SAN JUAN,Albizu University-San Juan,PR,26,297,0,0,11,0,286,11,0,0,0,297,0,0.037037037037037035,0.9629629629629629,0.037037037037037035,0,0,other,0,0,0,0,0,0,0,0,0,0,1.159342700548434,-0.629312655597351,0.30132413264284924,238,21.52317880794702,NA,NA,NA,NA,NA,NA,NA
ALCORN STATE UNIVERSITY,Alcorn State University,MS,20,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,other_doctoral,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
