year,gss_total,herd_total,gss_identified,herd_identified,gss_only,herd_only,matched,gss_identifier_coverage,herd_identifier_coverage,gss_match_rate,herd_match_rate,gss_identified_match_rate,herd_identified_match_rate
2008,579,690,566,5,561,0,5,0.9775474956822107,0.007246376811594203,0.008635578583765112,0.007246376811594203,0.0088339222614841,1.0
2009,575,708,563,5,558,0,5,0.9791304347826087,0.007062146892655367,0.008695652173913044,0.007062146892655367,0.008880994671403197,1.0
2010,574,744,563,720,106,263,457,0.980836236933798,0.967741935483871,0.7961672473867596,0.614247311827957,0.8117229129662522,0.6347222222222222
2011,565,912,554,879,73,398,481,0.9805309734513274,0.9638157894736842,0.8513274336283185,0.5274122807017544,0.868231046931408,0.5472127417519909
2012,565,894,555,862,73,380,482,0.9823008849557522,0.9642058165548099,0.8530973451327434,0.5391498881431768,0.8684684684684685,0.5591647331786543
2013,564,886,554,854,77,377,477,0.9822695035460993,0.963882618510158,0.8457446808510638,0.5383747178329571,0.8610108303249098,0.5585480093676815
2014,706,889,693,860,127,294,566,0.9815864022662889,0.9673790776152981,0.8016997167138811,0.6366704161979753,0.8167388167388168,0.6581395348837209
2015,711,898,697,867,128,298,569,0.980309423347398,0.965478841870824,0.8002812939521801,0.6336302895322939,0.8163558106169297,0.6562860438292965
2016,714,896,700,865,121,286,579,0.9803921568627451,0.9654017857142857,0.8109243697478992,0.6462053571428571,0.8271428571428572,0.669364161849711
2017,703,898,688,867,114,293,574,0.9786628733997155,0.965478841870824,0.8165007112375533,0.6391982182628062,0.8343023255813954,0.6620530565167243
2018,715,911,700,879,111,290,589,0.9790209790209791,0.964873765093304,0.8237762237762237,0.6465422612513722,0.8414285714285714,0.6700796359499431
2019,714,914,700,880,113,293,587,0.9803921568627451,0.962800875273523,0.8221288515406162,0.6422319474835886,0.8385714285714285,0.6670454545454545
2020,712,916,699,882,112,295,587,0.9817415730337079,0.962882096069869,0.824438202247191,0.6408296943231441,0.8397711015736766,0.6655328798185941
2021,699,908,686,872,111,297,575,0.9814020028612304,0.960352422907489,0.8226037195994278,0.6332599118942731,0.8381924198250729,0.6594036697247706
2022,690,900,678,864,109,295,569,0.9826086956521739,0.96,0.8246376811594203,0.6322222222222222,0.8392330383480826,0.6585648148148148
2023,687,911,671,874,104,307,567,0.9767103347889374,0.9593852908891328,0.8253275109170306,0.6223929747530187,0.8450074515648286,0.648741418764302
2024,635,925,620,890,83,353,537,0.9763779527559056,0.9621621621621622,0.8456692913385827,0.5805405405405405,0.8661290322580645,0.6033707865168539
