source,year,variable,institutions_total,institutions_nonmissing,institutions_missing,proportion_missing,structural_missingness_reason
GSS,2008,unitids,579,579,0,0.0,
GSS,2008,unitid_count,579,579,0,0.0,
GSS,2008,graduate_students,579,579,0,0.0,
GSS,2008,doctoral_students,579,0,579,1.0,Not collected separately from master's students before 2017
GSS,2008,full_time_doctoral_students,579,0,579,1.0,Not collected separately from master's students before 2017
GSS,2008,research_assistants,579,579,0,0.0,
GSS,2008,doctoral_research_assistants,579,0,579,1.0,Not collected separately from master's students before 2017
GSS,2008,teaching_assistants,579,579,0,0.0,
GSS,2008,fellowship_students,579,579,0,0.0,
GSS,2008,traineeship_students,579,579,0,0.0,
GSS,2008,postdocs,579,579,0,0.0,
GSS,2008,federally_supported_postdocs,579,0,579,1.0,
GSS,2008,nonfederally_supported_postdocs,579,0,579,1.0,
GSS,2008,institution_supported_students,579,579,0,0.0,
GSS,2008,self_supported_students,579,579,0,0.0,
GSS,2008,federally_supported_students,579,579,0,0.0,
GSS,2008,fellowship_trainee_students,579,579,0,0.0,
GSS,2008,research_labor_core,579,579,0,0.0,
GSS,2008,research_labor_broad,579,579,0,0.0,
GSS,2009,unitids,575,575,0,0.0,
GSS,2009,unitid_count,575,575,0,0.0,
GSS,2009,graduate_students,575,575,0,0.0,
GSS,2009,doctoral_students,575,0,575,1.0,Not collected separately from master's students before 2017
GSS,2009,full_time_doctoral_students,575,0,575,1.0,Not collected separately from master's students before 2017
GSS,2009,research_assistants,575,575,0,0.0,
GSS,2009,doctoral_research_assistants,575,0,575,1.0,Not collected separately from master's students before 2017
GSS,2009,teaching_assistants,575,575,0,0.0,
GSS,2009,fellowship_students,575,575,0,0.0,
GSS,2009,traineeship_students,575,575,0,0.0,
GSS,2009,postdocs,575,575,0,0.0,
GSS,2009,federally_supported_postdocs,575,0,575,1.0,
GSS,2009,nonfederally_supported_postdocs,575,0,575,1.0,
GSS,2009,institution_supported_students,575,575,0,0.0,
GSS,2009,self_supported_students,575,575,0,0.0,
GSS,2009,federally_supported_students,575,575,0,0.0,
GSS,2009,fellowship_trainee_students,575,575,0,0.0,
GSS,2009,research_labor_core,575,575,0,0.0,
GSS,2009,research_labor_broad,575,575,0,0.0,
GSS,2010,unitids,574,574,0,0.0,
GSS,2010,unitid_count,574,574,0,0.0,
GSS,2010,graduate_students,574,574,0,0.0,
GSS,2010,doctoral_students,574,0,574,1.0,Not collected separately from master's students before 2017
GSS,2010,full_time_doctoral_students,574,0,574,1.0,Not collected separately from master's students before 2017
GSS,2010,research_assistants,574,574,0,0.0,
GSS,2010,doctoral_research_assistants,574,0,574,1.0,Not collected separately from master's students before 2017
