collaboration_norm,outcome,term,estimate,std_error_clustered_by_discipline,p_value,n
True,Productivity,scale_log_funded_per_faculty_p1,0.14598279264481373,0.027127129971548137,7.389580947299104e-08,457
True,Productivity,scale_uniform_percentile100,0.05682770159838672,0.05567527467555363,0.30739703089650183,457
True,ProductivityWithDeptCollabs,scale_log_funded_per_faculty_p1,0.17235802577525336,0.027176430918463022,2.2652509093422418e-10,457
True,ProductivityWithDeptCollabs,scale_uniform_percentile100,0.03529178877760068,0.050286542024326496,0.48279529606736016,457
True,WindowedGroupSize,scale_log_funded_per_faculty_p1,0.13109667771071534,0.024107155610653064,5.3857329752985734e-08,457
True,WindowedGroupSize,scale_uniform_percentile100,0.06608943907935677,0.02462901059219035,0.0072878190793981635,457
False,Productivity,scale_log_funded_per_faculty_p1,0.02399227809895562,0.04180980624916184,0.5660738300011549,282
False,Productivity,scale_uniform_percentile100,0.07256297065173367,0.04691642499177738,0.12194930158942277,282
False,ProductivityWithDeptCollabs,scale_log_funded_per_faculty_p1,0.05739732172932292,0.08874666281581288,0.5177907116401002,282
False,ProductivityWithDeptCollabs,scale_uniform_percentile100,0.05203267859272523,0.06329777604850859,0.41105975333296574,282
False,WindowedGroupSize,scale_log_funded_per_faculty_p1,0.09447974868950212,0.04014414758673252,0.0185969881479786,282
False,WindowedGroupSize,scale_uniform_percentile100,-0.029993266743615764,0.046237035599210566,0.5165420674292345,282
